Date,Term,Value
2013-01-01,0,0.006680987618458187
2013-01-01,1,0.006680744629143275
2013-01-01,2,0.0066800146867635
2013-01-01,7,0.006669581359063075
2013-01-01,14,0.00667486004547252
2013-01-01,30,0.006673447645689846
2013-01-01,61,0.006650931885265678
2013-01-01,91,0.006631833957759392
2013-01-01,122,0.006618946999304624
2013-01-01,152,0.006613870435979539
2013-01-01,182,0.0066163204948258445
2013-01-01,213,0.006626872974634042
2013-01-01,243,0.006641115040610134
2013-01-01,273,0.006649166305034852
2013-01-01,304,0.006660540511431508
2013-01-01,335,0.006665944243049563
2013-01-01,365,0.006676841606492349
2013-01-01,395,0.006687579367535047
2013-01-01,425,0.006698038771416722
2013-01-01,456,0.006711622715376842
2013-01-01,486,0.006729687001912347
2013-01-01,516,0.006754269914921026
2013-01-01,547,0.006787892312498749
2013-01-01,577,0.00682888885947065
2013-01-01,607,0.006876051277758543
2013-01-01,638,0.006928626341934467
2013-01-01,668,0.006981132241828253
2013-01-01,698,0.007033539018580395
2013-01-01,730,0.00708775583483052
2013-01-01,1095,0.00771844191281627
2013-01-01,1460,0.008760610284357316
2013-01-01,1825,0.010162069084966495
2013-01-01,2190,0.011891730448872066
2013-01-01,2555,0.013671414000850349
2013-01-01,2920,0.01551164561762592
2013-01-01,3285,0.017288222038326993
2013-01-01,3650,0.019057104369005193
2013-01-01,4380,0.02194925865893975
2013-01-01,5475,0.02526349616665337
2013-01-01,7300,0.028881101275158708
2013-01-01,9125,0.030857503846480432
2013-01-01,10950,0.03172476300387703
2013-01-01,14600,0.03271020579833571
2013-01-01,18250,0.03267457346028979
2013-01-02,0,0.0066688462608718345
2013-01-02,1,0.006668946138276268
2013-01-02,2,0.006669246171922856
2013-01-02,7,0.006674148455355746
2013-01-02,14,0.006682421400533055
2013-01-02,30,0.006677330855090239
2013-01-02,61,0.006654544882549835
2013-01-02,91,0.006636946727010507
2013-01-02,122,0.006626307638854127
2013-01-02,152,0.006623870294856886
2013-01-02,182,0.006629346060302024
2013-01-02,213,0.006643399823227451
2013-01-02,243,0.006663839106577721
2013-01-02,273,0.0066851719296404195
2013-01-02,304,0.006705562482978572
2013-01-02,335,0.006724649191132589
2013-01-02,365,0.006749548390010942
2013-01-02,395,0.00677924040527298
2013-01-02,425,0.006812829124661323
2013-01-02,456,0.006851584421050462
2013-01-02,486,0.006892971973907326
2013-01-02,516,0.006938152723216354
2013-01-02,547,0.006988803571825159
2013-01-02,577,0.007041470072827895
2013-01-02,607,0.007096986713420669
2013-01-02,638,0.007156579827836941
2013-01-02,668,0.007215795853114991
2013-01-02,698,0.007276036765353269
2013-01-02,730,0.007340964689602384
2013-01-02,1095,0.008193018001776188
2013-01-02,1460,0.009419644220837721
2013-01-02,1825,0.011017317964204364
2013-01-02,2190,0.01280112841947743
2013-01-02,2555,0.014666129458080742
2013-01-02,2920,0.016602539306398018
2013-01-02,3285,0.018430354740575847
2013-01-02,3650,0.020181891406699615
2013-01-02,4380,0.023152101180148446
2013-01-02,5475,0.026441334847305695
2013-01-02,7300,0.030001109190392353
2013-01-02,9125,0.031926488305090005
2013-01-02,10950,0.03273636467510879
2013-01-02,14600,0.03370064127671929
2013-01-02,18250,0.03359000588024697
2013-01-03,0,0.006732995239536292
2013-01-03,1,0.006732829151670754
2013-01-03,2,0.006732330222021897
2013-01-03,7,0.006726674422747579
2013-01-03,14,0.006724092608156901
2013-01-03,30,0.006705229328431724
2013-01-03,61,0.006674541422345655
2013-01-03,91,0.006654469038667084
2013-01-03,122,0.006643923199981867
2013-01-03,152,0.006643631359741803
2013-01-03,182,0.006653106327936624
2013-01-03,213,0.006673164669004941
2013-01-03,243,0.00669956196750626
2013-01-03,273,0.00672438585003244
2013-01-03,304,0.006754881314318938
2013-01-03,335,0.006783975679975182
2013-01-03,365,0.00681651824640858
2013-01-03,395,0.006850366592488174
2013-01-03,425,0.006885989767797763
2013-01-03,456,0.006926354974322627
2013-01-03,486,0.006970086326368681
2013-01-03,516,0.007019334268821614
2013-01-03,547,0.007076774200849997
2013-01-03,577,0.007138882885124504
2013-01-03,607,0.007206179358704276
2013-01-03,638,0.007279802975181848
2013-01-03,668,0.007353921234717705
2013-01-03,698,0.0074299818012565
2013-01-03,730,0.007512438308017076
2013-01-03,1095,0.008555333600882637
2013-01-03,1460,0.00992121756451453
2013-01-03,1825,0.011640564771463767
2013-01-03,2190,0.013486280793715366
2013-01-03,2555,0.015469408907618833
2013-01-03,2920,0.017456627883077155
2013-01-03,3285,0.019378634368910477
2013-01-03,3650,0.02116228054515308
2013-01-03,4380,0.024111868268425325
2013-01-03,5475,0.02735318062963588
2013-01-03,7300,0.03084162763414872
2013-01-03,9125,0.032635434050042864
2013-01-03,10950,0.03339211146341315
2013-01-03,14600,0.03398948898842138
2013-01-03,18250,0.03444110513263372
2013-01-04,0,0.006677364039443531
2013-01-04,1,0.006677194639331899
2013-01-04,2,0.006676685763565295
2013-01-04,7,0.006671102712211502
2013-01-04,14,0.006671905860890721
2013-01-04,30,0.006660316672342159
2013-01-04,61,0.006639022047256732
2013-01-04,91,0.0066280071293735995
2013-01-04,122,0.006627668248900278
2013-01-04,152,0.006638240879338487
2013-01-04,182,0.006659605811999003
2013-01-04,213,0.006693052429099362
2013-01-04,243,0.006729684492811258
2013-01-04,273,0.006755645480206708
2013-01-04,304,0.006793719575677516
2013-01-04,335,0.006830718814593368
2013-01-04,365,0.006868342434629171
2013-01-04,395,0.006904765505937447
2013-01-04,425,0.006942016248240744
2013-01-04,456,0.006985061637061865
2013-01-04,486,0.007033802143918
2013-01-04,516,0.007091526310189375
2013-01-04,547,0.007162258085714498
2013-01-04,577,0.007241998745346996
2013-01-04,607,0.007330043338732786
2013-01-04,638,0.007426339621108533
2013-01-04,668,0.007521974938265946
2013-01-04,698,0.007617820182270849
2013-01-04,730,0.007718252333308862
2013-01-04,1095,0.008856413034173354
2013-01-04,1460,0.010402158227681656
2013-01-04,1825,0.012237903384629982
2013-01-04,2190,0.014163896150809097
2013-01-04,2555,0.01611792052253524
2013-01-04,2920,0.01810517386289194
2013-01-04,3285,0.019998664924786694
2013-01-04,3650,0.021782012134941523
2013-01-04,4380,0.024709868752962053
2013-01-04,5475,0.027870646849076818
2013-01-04,7300,0.03126325636644248
2013-01-04,9125,0.032990094981662985
2013-01-04,10950,0.033633341812193907
2013-01-04,14600,0.03457771811876491
2013-01-04,18250,0.03454706396436891
2013-01-07,0,0.006554863588550733
2013-01-07,1,0.006554419802949004
2013-01-07,2,0.0065530866726531975
2013-01-07,7,0.00655105567097975
2013-01-07,14,0.006557281578931834
2013-01-07,30,0.006558905025397785
2013-01-07,61,0.006560926274438775
2013-01-07,91,0.006567703110356813
2013-01-07,122,0.006580568861208045
2013-01-07,152,0.0065988600238280366
2013-01-07,182,0.006622950782621331
2013-01-07,213,0.006653961865837117
2013-01-07,243,0.006686201628065422
2013-01-07,273,0.006714031672828999
2013-01-07,304,0.006754182370016039
2013-01-07,335,0.006789419461348293
2013-01-07,365,0.006829949971488823
2013-01-07,395,0.006871567535356689
2013-01-07,425,0.006914126819389576
2013-01-07,456,0.006961667535745301
2013-01-07,486,0.0070129930186253004
2013-01-07,516,0.007070958038122063
2013-01-07,547,0.007138979991516345
2013-01-07,577,0.0072129135152668965
2013-01-07,607,0.007292803112543803
2013-01-07,638,0.007379377812631807
2013-01-07,668,0.007465280975762259
2013-01-07,698,0.007551830425056195
2013-01-07,730,0.007643527792493284
2013-01-07,1095,0.008742596764895007
2013-01-07,1460,0.010243938789138724
2013-01-07,1825,0.012045752979848017
2013-01-07,2190,0.013909006182323727
2013-01-07,2555,0.015862200640061715
2013-01-07,2920,0.017793915056749265
2013-01-07,3285,0.019640843305872145
2013-01-07,3650,0.021395108295604943
2013-01-07,4380,0.024312327242982316
2013-01-07,5475,0.027502986774370356
2013-01-07,7300,0.03082178988719287
2013-01-07,9125,0.032502824434662236
2013-01-07,10950,0.03314729442227481
2013-01-07,14600,0.03403974419469921
2013-01-07,18250,0.03400886952772248
2013-01-08,0,0.006774995640969968
2013-01-08,1,0.006775382373691312
2013-01-08,2,0.006776544122469344
2013-01-08,7,0.0067810549456347406
2013-01-08,14,0.006770234019664985
2013-01-08,30,0.006751134725683289
2013-01-08,61,0.006715012446710804
2013-01-08,91,0.0066856234259148484
2013-01-08,122,0.0066616532769688775
2013-01-08,152,0.006644770295758479
2013-01-08,182,0.006634137909780896
2013-01-08,213,0.006629735844041216
2013-01-08,243,0.006634682566577203
2013-01-08,273,0.006654657601789121
2013-01-08,304,0.006678545106237792
2013-01-08,335,0.00670039389974963
2013-01-08,365,0.006722056606956333
2013-01-08,395,0.006746883665096117
2013-01-08,425,0.006775930348588081
2013-01-08,456,0.0068109832855897025
2013-01-08,486,0.006850220769597508
2013-01-08,516,0.006895017534009306
2013-01-08,547,0.006947418129127521
2013-01-08,577,0.007003954380866407
2013-01-08,607,0.007065130760478385
2013-01-08,638,0.0071320534498286485
2013-01-08,668,0.007199479582603167
2013-01-08,698,0.007268771975845084
2013-01-08,730,0.007344043798532534
2013-01-08,1095,0.008358937385966062
2013-01-08,1460,0.009807868667817183
2013-01-08,1825,0.011563120662396502
2013-01-08,2190,0.013421273978816239
2013-01-08,2555,0.01534146434977977
2013-01-08,2920,0.017261151100122885
2013-01-08,3285,0.01910803962387053
2013-01-08,3650,0.020859091255889476
2013-01-08,4380,0.023758364244686952
2013-01-08,5475,0.026956288184276613
2013-01-08,7300,0.030325810770424337
2013-01-08,9125,0.03203268802194255
2013-01-08,10950,0.03269655813678531
