Date,Term,Value
2013-01-01,0,0.004229157138376139
2013-01-01,1,0.004229041393820181
2013-01-01,2,0.004228692423798584
2013-01-01,7,0.0042234515061468645
2013-01-01,14,0.004209536703860667
2013-01-01,30,0.004177450710815691
2013-01-01,61,0.004131425906289239
2013-01-01,91,0.004095904580978188
2013-01-01,122,0.004047919189502812
2013-01-01,152,0.0039969350999566845
2013-01-01,182,0.003964179415262308
2013-01-01,213,0.0039445756027951815
2013-01-01,243,0.003908289014453678
2013-01-01,273,0.0038769130997771324
2013-01-01,304,0.00384586920800192
2013-01-01,335,0.003818597809889367
2013-01-01,365,0.003792827062399202
2013-01-01,395,0.0037738650839578007
2013-01-01,425,0.0037622530764474774
2013-01-01,456,0.003756839358260745
2013-01-01,486,0.003757147413069021
2013-01-01,516,0.0037622898878865527
2013-01-01,547,0.0037721750809324318
2013-01-01,577,0.0037857770830096635
2013-01-01,607,0.0038030429279820818
2013-01-01,638,0.0038244736422461535
2013-01-01,668,0.0038484807773974017
2013-01-01,698,0.0038755347247464694
2013-01-01,730,0.003907595467740109
2013-01-01,1095,0.00449271538448289
2013-01-01,1460,0.005499508905480458
2013-01-01,1825,0.006965479275283207
2013-01-01,2190,0.008681461040077902
2013-01-01,2555,0.01052474814554046
2013-01-01,2920,0.012413747987788356
2013-01-01,3285,0.014248967884231266
2013-01-01,3650,0.016007848868267546
2013-01-01,4380,0.01906677924940245
2013-01-01,5475,0.022501778935463373
2013-01-01,7300,0.02635724863569876
2013-01-01,9125,0.02852407679647439
2013-01-01,10950,0.029562490308455504
2013-01-01,14600,0.030856912706908612
2013-01-01,18250,0.030970682254678798
2013-01-02,0,0.004251349110551885
2013-01-02,1,0.004251317551765726
2013-01-02,2,0.004251222750659482
2013-01-02,7,0.004249800733784162
2013-01-02,14,0.00424553553544036
2013-01-02,30,0.004229200175637389
2013-01-02,61,0.004182193025825942
2013-01-02,91,0.004140661745838259
2013-01-02,122,0.004105750302992392
2013-01-02,152,0.004071547116709542
2013-01-02,182,0.004035857607492376
2013-01-02,213,0.004005602763231092
2013-01-02,243,0.003979973761905606
2013-01-02,273,0.003954644918314804
2013-01-02,304,0.003928976943751073
2013-01-02,335,0.003910739986169886
2013-01-02,365,0.0039007615028136106
2013-01-02,395,0.003897205151935354
2013-01-02,425,0.0038992766517442043
2013-01-02,456,0.003906709741516129
2013-01-02,486,0.003918574373463994
2013-01-02,516,0.003934694544423839
2013-01-02,547,0.00395554586318361
2013-01-02,577,0.003979571331790807
2013-01-02,607,0.004007213750131755
2013-01-02,638,0.004039435697585853
2013-01-02,668,0.004074046055803054
2013-01-02,698,0.004111936751655594
2013-01-02,730,0.004155884561364947
2013-01-02,1095,0.004917071337085627
2013-01-02,1460,0.006167464477975104
2013-01-02,1825,0.00783578824423796
2013-01-02,2190,0.009665019856519998
2013-01-02,2555,0.011641021704882423
2013-01-02,2920,0.013602436702199064
2013-01-02,3285,0.015550277628161973
2013-01-02,3650,0.01739896927115334
2013-01-02,4380,0.020452128633328955
2013-01-02,5475,0.023896926241675602
2013-01-02,7300,0.027745258406823577
2013-01-02,9125,0.02992943322628449
2013-01-02,10950,0.030935087685383625
2013-01-02,14600,0.03224671913918189
2013-01-02,18250,0.032352545734608655
2013-01-03,0,0.004305842288299108
2013-01-03,1,0.004305719069501855
2013-01-03,2,0.004305348917352925
2013-01-03,7,0.0042997966347881385
2013-01-03,14,0.004285107137553375
2013-01-03,30,0.00425187342636817
2013-01-03,61,0.0042031211748960315
2013-01-03,91,0.004160404558782866
2013-01-03,122,0.004119002972365484
2013-01-03,152,0.004090606728537864
2013-01-03,182,0.004064156556653762
2013-01-03,213,0.004045339478387543
2013-01-03,243,0.004027595983431611
2013-01-03,273,0.0040069901492056584
2013-01-03,304,0.003991743237457032
2013-01-03,335,0.003981509456961755
2013-01-03,365,0.003978077450008848
2013-01-03,395,0.003980049336277351
2013-01-03,425,0.003986802850648662
2013-01-03,456,0.0039985405582042746
2013-01-03,486,0.004014313101021169
2013-01-03,516,0.004034282130447807
2013-01-03,547,0.004059207381014924
2013-01-03,577,0.004087390483050287
2013-01-03,607,0.004119497782906782
2013-01-03,638,0.004156737497931663
2013-01-03,668,0.004196659189380097
2013-01-03,698,0.004240361550244441
2013-01-03,730,0.004291108469732095
2013-01-03,1095,0.0051636384484968646
2013-01-03,1460,0.006547013940861736
2013-01-03,1825,0.008313185342058431
2013-01-03,2190,0.010220181641648987
2013-01-03,2555,0.012328043011809656
2013-01-03,2920,0.014350406151380427
2013-01-03,3285,0.01635580371702181
2013-01-03,3650,0.018180293550881663
2013-01-03,4380,0.021291927957710028
2013-01-03,5475,0.02465790366682848
2013-01-03,7300,0.028419913227030746
2013-01-03,9125,0.03053871429146743
2013-01-03,10950,0.03142643547239973
2013-01-03,14600,0.03280973999401387
2013-01-03,18250,0.032916771958422665
2013-01-04,0,0.004295153243250523
2013-01-04,1,0.00429504408479269
2013-01-04,2,0.004294716170629521
2013-01-04,7,0.0042897974584269576
2013-01-04,14,0.0042767035642438285
2013-01-04,30,0.004246008301065871
2013-01-04,61,0.004200137556230632
2013-01-04,91,0.004165665063479882
2013-01-04,122,0.004131019090724681
2013-01-04,152,0.0041065937605637105
2013-01-04,182,0.004078056898673724
2013-01-04,213,0.0040588311389722475
2013-01-04,243,0.004043553071823679
2013-01-04,273,0.004027428656880648
2013-01-04,304,0.0040177707442304545
2013-01-04,335,0.004015162827605402
2013-01-04,365,0.004020317576395459
2013-01-04,395,0.00403036770542334
2013-01-04,425,0.00404446542698149
2013-01-04,456,0.00406324595787823
2013-01-04,486,0.0040854691983699684
2013-01-04,516,0.004111653179129002
2013-01-04,547,0.004142853450103032
2013-01-04,577,0.004177043716630106
2013-01-04,607,0.004215154390958382
2013-01-04,638,0.004258645078244542
2013-01-04,668,0.004304702836046284
