Date,OptionTerm,SwapTerm,Value
2013-01-01,01,01,0.598
2013-01-01,01,02,0.546
2013-01-01,01,03,0.536027
2013-01-01,01,04,0.509074
2013-01-01,01,05,0.479082
2013-01-01,01,06,0.437115
2013-01-01,01,07,0.406169
2013-01-01,01,08,0.378153
2013-01-01,01,09,0.357115
2013-01-01,01,10,0.338104
2013-01-01,01,15,0.269151
2013-01-01,01,20,0.239082
2013-01-01,01,25,0.226043
2013-01-01,02,01,0.668
2013-01-01,02,02,0.557303
2013-01-01,02,03,0.505142
2013-01-01,02,04,0.459126
2013-01-01,02,05,0.423099
2013-01-01,02,06,0.386202
2013-01-01,02,07,0.360142
2013-01-01,02,08,0.336132
2013-01-01,02,09,0.319093
2013-01-01,02,10,0.304123
2013-01-01,02,15,0.251116
2013-01-01,02,20,0.22906
2013-01-01,02,25,0.218036
2013-01-01,03,01,0.606
2013-01-01,03,02,0.498296
2013-01-01,03,03,0.440159
2013-01-01,03,04,0.396121
2013-01-01,03,05,0.36318
2013-01-01,03,06,0.336148
2013-01-01,03,07,0.315115
2013-01-01,03,08,0.298093
2013-01-01,03,09,0.285107
2013-01-01,03,10,0.273099
2013-01-01,03,15,0.233088
2013-01-01,03,20,0.216047
2013-01-01,03,25,0.207034
2013-01-01,04,01,0.497298
2013-01-01,04,02,0.41423
2013-01-01,04,03,0.369194
2013-01-01,04,04,0.33526
2013-01-01,04,05,0.310214
2013-01-01,04,06,0.290181
2013-01-01,04,07,0.275151
2013-01-01,04,08,0.264153
2013-01-01,04,09,0.255131
2013-01-01,04,10,0.247115
2013-01-01,04,15,0.217093
2013-01-01,04,20,0.204068
2013-01-01,04,25,0.19705
2013-01-01,05,01,0.399268
2013-01-01,05,02,0.343195
2013-01-01,05,03,0.313235
2013-01-01,05,04,0.290186
2013-01-01,05,05,0.271159
2013-01-01,05,06,0.257129
2013-01-01,05,07,0.247131
2013-01-01,05,08,0.238121
2013-01-01,05,09,0.232096
2013-01-01,05,10,0.227082
2013-01-01,05,15,0.203091
2013-01-01,05,20,0.194052
2013-01-01,05,25,0.188044
2013-01-01,06,01,0.325203
2013-01-01,06,02,0.288251
2013-01-01,06,03,0.268178
2013-01-01,06,04,0.252148
2013-01-01,06,05,0.239123
2013-01-01,06,06,0.231115
2013-01-01,06,07,0.22311
2013-01-01,06,08,0.218082
2013-01-01,06,09,0.214071
2013-01-01,06,10,0.210079
2013-01-01,06,15,0.19207
2013-01-01,06,20,0.184049
2013-01-01,06,25,0.180035
2013-01-01,07,01,0.281121
2013-01-01,07,02,0.253173
2013-01-01,07,03,0.238123
2013-01-01,07,04,0.227099
2013-01-01,07,05,0.218107
2013-01-01,07,06,0.212085
2013-01-01,07,07,0.208063
2013-01-01,07,08,0.20406
2013-01-01,07,09,0.20106
2013-01-01,07,10,0.198058
2013-01-01,07,15,0.183058
2013-01-01,07,20,0.176041
2013-01-01,07,25,0.173031
2013-01-01,08,01,0.249175
2013-01-01,08,02,0.226148
2013-01-01,08,03,0.21612
2013-01-01,08,04,0.208126
2013-01-01,08,05,0.202104
2013-01-01,08,06,0.198088
2013-01-01,08,07,0.194088
2013-01-01,08,08,0.191087
2013-01-01,08,09,0.189077
2013-01-01,08,10,0.186082
2013-01-01,08,15,0.174069
2013-01-01,08,20,0.169052
2013-01-01,08,25,0.166048
2013-01-01,09,01,0.223142
2013-01-01,09,02,0.208099
2013-01-01,09,03,0.201101
2013-01-01,09,04,0.195088
2013-01-01,09,05,0.191071
2013-01-01,09,06,0.187071
2013-01-01,09,07,0.184071
2013-01-01,09,08,0.18206
2013-01-01,09,09,0.18006
2013-01-01,09,10,0.177066
2013-01-01,09,15,0.168053
2013-01-01,09,20,0.164038
2013-01-01,09,25,0.161037
2013-01-01,10,01,0.207088
2013-01-01,10,02,0.197087
2013-01-01,10,03,0.191071
2013-01-01,10,04,0.187055
2013-01-01,10,05,0.183055
2013-01-01,10,06,0.180055
2013-01-01,10,07,0.177055
2013-01-01,10,08,0.175049
2013-01-01,10,09,0.17206
2013-01-01,10,10,0.171041
2013-01-01,10,15,0.164037
2013-01-01,10,20,0.160033
2013-01-01,10,25,0.157032
2013-01-01,15,01,0.173056
2013-01-01,15,02,0.169057
2013-01-01,15,03,0.166049
2013-01-01,15,04,0.162052
2013-01-01,15,05,0.160049
2013-01-01,15,06,0.158047
2013-01-01,15,07,0.156045
2013-01-01,15,08,0.154045
2013-01-01,15,09,0.153039
2013-01-01,15,10,0.152039
2013-01-01,15,15,0.148035
2013-01-01,15,20,0.142046
2013-01-01,15,25,0.138047
2013-01-01,20,01,0.158041
2013-01-01,20,02,0.159027
2013-01-01,20,03,0.157025
2013-01-01,20,04,0.156019
2013-01-01,20,05,0.155016
2013-01-01,20,06,0.153019
2013-01-01,20,07,0.152014
2013-01-01,20,08,0.151014
2013-01-01,20,09,0.149022
2013-01-01,20,10,0.148016
2013-01-01,20,15,0.141031
2013-01-01,20,20,0.134041
2013-01-01,20,25,0.131029
2013-01-02,01,01,0.551
2013-01-02,01,02,0.498
2013-01-02,01,03,0.498
2013-01-02,01,04,0.473068
2013-01-02,01,05,0.449066
2013-01-02,01,06,0.412101
2013-01-02,01,07,0.384153
2013-01-02,01,08,0.360132
2013-01-02,01,09,0.342099
2013-01-02,01,10,0.325093
2013-01-02,01,15,0.263136
2013-01-02,01,20,0.236074
2013-01-02,01,25,0.225036
2013-01-02,02,01,0.59
2013-01-02,02,02,0.504235
2013-01-02,02,03,0.461118
2013-01-02,02,04,0.425099
2013-01-02,02,05,0.396079
2013-01-02,02,06,0.364175
2013-01-02,02,07,0.340131
2013-01-02,02,08,0.32011
2013-01-02,02,09,0.305082
2013-01-02,02,10,0.292107
2013-01-02,02,15,0.243107
2013-01-02,02,20,0.224052
2013-01-02,02,25,0.214033
2013-01-02,03,01,0.546
2013-01-02,03,02,0.456247
2013-01-02,03,03,0.406137
2013-01-02,03,04,0.367107
2013-01-02,03,05,0.338158
2013-01-02,03,06,0.315126
2013-01-02,03,07,0.297099
2013-01-02,03,08,0.282082
2013-01-02,03,09,0.27109
2013-01-02,03,10,0.261082
2013-01-02,03,15,0.225079
2013-01-02,03,20,0.210041
2013-01-02,03,25,0.202031
2013-01-02,04,01,0.453254
2013-01-02,04,02,0.385195
2013-01-02,04,03,0.345167
2013-01-02,04,04,0.315224
2013-01-02,04,05,0.292189
2013-01-02,04,06,0.275156
2013-01-02,04,07,0.262131
2013-01-02,04,08,0.252137
2013-01-02,04,09,0.244118
2013-01-02,04,10,0.238096
2013-01-02,04,15,0.210087
2013-01-02,04,20,0.198066
2013-01-02,04,25,0.192047
2013-01-02,05,01,0.374216
2013-01-02,05,02,0.32317
2013-01-02,05,03,0.295213
2013-01-02,05,04,0.275164
2013-01-02,05,05,0.25814
2013-01-02,05,06,0.246112
2013-01-02,05,07,0.236126
2013-01-02,05,08,0.229101
2013-01-02,05,09,0.224082
2013-01-02,05,10,0.219079
2013-01-02,05,15,0.197084
2013-01-02,05,20,0.188052
2013-01-02,05,25,0.184035
2013-01-02,06,01,0.305189
2013-01-02,06,02,0.273224
2013-01-02,06,03,0.255159
2013-01-02,06,04,0.240137
2013-01-02,06,05,0.22911
2013-01-02,06,06,0.221112
2013-01-02,06,07,0.21509
2013-01-02,06,08,0.211071
2013-01-02,06,09,0.207069
2013-01-02,06,10,0.203077
2013-01-02,06,15,0.186067
2013-01-02,06,20,0.179044
2013-01-02,06,25,0.175038
2013-01-02,07,01,0.267104
2013-01-02,07,02,0.241159
2013-01-02,07,03,0.22811
2013-01-02,07,04,0.218088
2013-01-02,07,05,0.210096
2013-01-02,07,06,0.205071
2013-01-02,07,07,0.20106
2013-01-02,07,08,0.198052
2013-01-02,07,09,0.195057
2013-01-02,07,10,0.192055
2013-01-02,07,15,0.178053
2013-01-02,07,20,0.172036
2013-01-02,07,25,0.169028
2013-01-02,08,01,0.236169
2013-01-02,08,02,0.216137
2013-01-02,08,03,0.208109
2013-01-02,08,04,0.201112
2013-01-02,08,05,0.195099
2013-01-02,08,06,0.192079
2013-01-02,08,07,0.188082
2013-01-02,08,08,0.186077
2013-01-02,08,09,0.183082
2013-01-02,08,10,0.181071
2013-01-02,08,15,0.170062
2013-01-02,08,20,0.165052
2013-01-02,08,25,0.162048
2013-01-02,09,01,0.214121
2013-01-02,09,02,0.201082
2013-01-02,09,03,0.195088
2013-01-02,09,04,0.189082
2013-01-02,09,05,0.185066
2013-01-02,09,06,0.182063
2013-01-02,09,07,0.179066
2013-01-02,09,08,0.17706
2013-01-02,09,09,0.175055
2013-01-02,09,10,0.173055
2013-01-02,09,15,0.164053
2013-01-02,09,20,0.160038
2013-01-02,09,25,0.157037
2013-01-02,10,01,0.201071
2013-01-02,10,02,0.191082
2013-01-02,10,03,0.186063
2013-01-02,10,04,0.182049
2013-01-02,10,05,0.178049
2013-01-02,10,06,0.175055
2013-01-02,10,07,0.172055
2013-01-02,10,08,0.170049
2013-01-02,10,09,0.168049
2013-01-02,10,10,0.166055
2013-01-02,10,15,0.160035
2013-01-02,10,20,0.156033
2013-01-02,10,25,0.153032
2013-01-02,15,01,0.168054
2013-01-02,15,02,0.165051
2013-01-02,15,03,0.162048
2013-01-02,15,04,0.15805
2013-01-02,15,05,0.156047
2013-01-02,15,06,0.154045
2013-01-02,15,07,0.152044
2013-01-02,15,08,0.151037
2013-01-02,15,09,0.150038
2013-01-02,15,10,0.149036
2013-01-02,15,15,0.145033
2013-01-02,15,20,0.139044
2013-01-02,15,25,0.135045
2013-01-02,20,01,0.155036
2013-01-02,20,02,0.155027
2013-01-02,20,03,0.154022
2013-01-02,20,04,0.153016
2013-01-02,20,05,0.152014
2013-01-02,20,06,0.151011
2013-01-02,20,07,0.149014
2013-01-02,20,08,0.148014
2013-01-02,20,09,0.147014
2013-01-02,20,10,0.145022
2013-01-02,20,15,0.139026
2013-01-02,20,20,0.132038
2013-01-02,20,25,0.129026
2013-01-03,01,01,0.535
2013-01-03,01,02,0.48
2013-01-03,01,03,0.473019
2013-01-03,01,04,0.450063
2013-01-03,01,05,0.430055
2013-01-03,01,06,0.396093
2013-01-03,01,07,0.370142
2013-01-03,01,08,0.347126
2013-01-03,01,09,0.330093
2013-01-03,01,10,0.314088
2013-01-03,01,15,0.257125
2013-01-03,01,20,0.232068
2013-01-03,01,25,0.222033
2013-01-03,02,01,0.557
2013-01-03,02,02,0.474227
2013-01-03,02,03,0.43411
2013-01-03,02,04,0.40109
2013-01-03,02,05,0.375071
2013-01-03,02,06,0.346158
2013-01-03,02,07,0.325115
2013-01-03,02,08,0.307099
2013-01-03,02,09,0.294071
2013-01-03,02,10,0.282098
2013-01-03,02,15,0.237099
2013-01-03,02,20,0.219049
2013-01-03,02,25,0.21003
2013-01-03,03,01,0.509
2013-01-03,03,02,0.428222
2013-01-03,03,03,0.384121
2013-01-03,03,04,0.349096
2013-01-03,03,05,0.323142
2013-01-03,03,06,0.301121
2013-01-03,03,07,0.285088
2013-01-03,03,08,0.272071
2013-01-03,03,09,0.263074
2013-01-03,03,10,0.254074
2013-01-03,03,15,0.220074
2013-01-03,03,20,0.206038
2013-01-03,03,25,0.199027
2013-01-03,04,01,0.430216
2013-01-03,04,02,0.36617
2013-01-03,04,03,0.330148
2013-01-03,04,04,0.302205
2013-01-03,04,05,0.281173
2013-01-03,04,06,0.265142
2013-01-03,04,07,0.254115
2013-01-03,04,08,0.245123
2013-01-03,04,09,0.238107
2013-01-03,04,10,0.232093
2013-01-03,04,15,0.206081
2013-01-03,04,20,0.19506
2013-01-03,04,25,0.190041
2013-01-03,05,01,0.356203
2013-01-03,05,02,0.310153
2013-01-03,05,03,0.285191
2013-01-03,05,04,0.265156
2013-01-03,05,05,0.249132
2013-01-03,05,06,0.239099
2013-01-03,05,07,0.230115
2013-01-03,05,08,0.22409
2013-01-03,05,09,0.219079
2013-01-03,05,10,0.215069
2013-01-03,05,15,0.195074
2013-01-03,05,20,0.186049
2013-01-03,05,25,0.182035
2013-01-03,06,01,0.296164
2013-01-03,06,02,0.264213
2013-01-03,06,03,0.247151
2013-01-03,06,04,0.233126
2013-01-03,06,05,0.224093
2013-01-03,06,06,0.217098
2013-01-03,06,07,0.211085
2013-01-03,06,08,0.207069
2013-01-03,06,09,0.204058
2013-01-03,06,10,0.200074
2013-01-03,06,15,0.184065
2013-01-03,06,20,0.178038
2013-01-03,06,25,0.174035
2013-01-03,07,01,0.259101
2013-01-03,07,02,0.234151
2013-01-03,07,03,0.222101
2013-01-03,07,04,0.214074
2013-01-03,07,05,0.207085
2013-01-03,07,06,0.202069
2013-01-03,07,07,0.198058
2013-01-03,07,08,0.195049
2013-01-03,07,09,0.193047
2013-01-03,07,10,0.190052
2013-01-03,07,15,0.177048
2013-01-03,07,20,0.171036
2013-01-03,07,25,0.168028
2013-01-03,08,01,0.230158
2013-01-03,08,02,0.212121
2013-01-03,08,03,0.205093
2013-01-03,08,04,0.199098
2013-01-03,08,05,0.193093
2013-01-03,08,06,0.190074
2013-01-03,08,07,0.187068
2013-01-03,08,08,0.185066
2013-01-03,08,09,0.182077
2013-01-03,08,10,0.180066
2013-01-03,08,15,0.170055
2013-01-03,08,20,0.166038
2013-01-03,08,25,0.163037
2013-01-03,09,01,0.209115
2013-01-03,09,02,0.199071
2013-01-03,09,03,0.194074
2013-01-03,09,04,0.189068
2013-01-03,09,05,0.185055
2013-01-03,09,06,0.182052
2013-01-03,09,07,0.17906
2013-01-03,09,08,0.177055
2013-01-03,09,09,0.175049
2013-01-03,09,10,0.173049
2013-01-03,09,15,0.164053
2013-01-03,09,20,0.161036
2013-01-03,09,25,0.158037
2013-01-03,10,01,0.201044
2013-01-03,10,02,0.192063
2013-01-03,10,03,0.187052
2013-01-03,10,04,0.182052
2013-01-03,10,05,0.178049
2013-01-03,10,06,0.176044
2013-01-03,10,07,0.173049
2013-01-03,10,08,0.171044
2013-01-03,10,09,0.169044
2013-01-03,10,10,0.167049
2013-01-03,10,15,0.162022
2013-01-03,10,20,0.158027
2013-01-03,10,25,0.154035
2013-01-03,15,01,0.169053
2013-01-03,15,02,0.166051
2013-01-03,15,03,0.163048
2013-01-03,15,04,0.159049
2013-01-03,15,05,0.157045
2013-01-03,15,06,0.155045
2013-01-03,15,07,0.154037
2013-01-03,15,08,0.152042
2013-01-03,15,09,0.151038
2013-01-03,15,10,0.151026
2013-01-03,15,15,0.147033
2013-01-03,15,20,0.140049
2013-01-03,15,25,0.137039
2013-01-03,20,01,0.157033
2013-01-03,20,02,0.157025
2013-01-03,20,03,0.156019
2013-01-03,20,04,0.155014
2013-01-03,20,05,0.154011
2013-01-03,20,06,0.153008
2013-01-03,20,07,0.151014
2013-01-03,20,08,0.150011
2013-01-03,20,09,0.149011
2013-01-03,20,10,0.148014
2013-01-03,20,15,0.140032
2013-01-03,20,20,0.133038
2013-01-03,20,25,0.130029
2013-01-04,01,01,0.536
2013-01-04,01,02,0.479
2013-01-04,01,03,0.469027
2013-01-04,01,04,0.442074
2013-01-04,01,05,0.423052
2013-01-04,01,06,0.392085
2013-01-04,01,07,0.368131
2013-01-04,01,08,0.346121
2013-01-04,01,09,0.329093
2013-01-04,01,10,0.315077
2013-01-04,01,15,0.26012
2013-01-04,01,20,0.236066
2013-01-04,01,25,0.226033
2013-01-04,02,01,0.556
2013-01-04,02,02,0.462257
2013-01-04,02,03,0.42211
2013-01-04,02,04,0.393079
2013-01-04,02,05,0.37106
2013-01-04,02,06,0.344148
2013-01-04,02,07,0.32411
2013-01-04,02,08,0.306099
2013-01-04,02,09,0.294066
2013-01-04,02,10,0.28309
2013-01-04,02,15,0.240094
2013-01-04,02,20,0.222049
2013-01-04,02,25,0.21303
2013-01-04,03,01,0.478
2013-01-04,03,02,0.406197
2013-01-04,03,03,0.372093
2013-01-04,03,04,0.343079
2013-01-04,03,05,0.320126
2013-01-04,03,06,0.30011
2013-01-04,03,07,0.285082
2013-01-04,03,08,0.273066
2013-01-04,03,09,0.263082
2013-01-04,03,10,0.255066
2013-01-04,03,15,0.22307
2013-01-04,03,20,0.209038
2013-01-04,03,25,0.202027
2013-01-04,04,01,0.403205
2013-01-04,04,02,0.354143
2013-01-04,04,03,0.323134
2013-01-04,04,04,0.298191
2013-01-04,04,05,0.280159
2013-01-04,04,06,0.265137
2013-01-04,04,07,0.254115
2013-01-04,04,08,0.246118
2013-01-04,04,09,0.239104
2013-01-04,04,10,0.233093
2013-01-04,04,15,0.208082
2013-01-04,04,20,0.198057
2013-01-04,04,25,0.193041
2013-01-04,05,01,0.349148
2013-01-04,05,02,0.306132
2013-01-04,05,03,0.283172
2013-01-04,05,04,0.264145
2013-01-04,05,05,0.250121
2013-01-04,05,06,0.240096
2013-01-04,05,07,0.232104
2013-01-04,05,08,0.226088
2013-01-04,05,09,0.221077
2013-01-04,05,10,0.216074
2013-01-04,05,15,0.197072
2013-01-04,05,20,0.189047
2013-01-04,05,25,0.185035
2013-01-04,06,01,0.291159
2013-01-04,06,02,0.26021
2013-01-04,06,03,0.245145
2013-01-04,06,04,0.233118
2013-01-04,06,05,0.224096
2013-01-04,06,06,0.218093
2013-01-04,06,07,0.213079
2013-01-04,06,08,0.209069
2013-01-04,06,09,0.205066
2013-01-04,06,10,0.202063
2013-01-04,06,15,0.18706
2013-01-04,06,20,0.180044
2013-01-04,06,25,0.177032
2013-01-04,07,01,0.253104
2013-01-04,07,02,0.230145
